id_intervention,raison_sortie,date_debut,date_fin,FL_CCR_CCF,nb_eng_CC,label,year,geometry,latitude,longitude,IN,date,type,coef,h3
18BB000936,NATURELS,2018-01-05 17:41:19,2018-01-05 18:45:21,1.0,1.0,1.0,2018,POINT (5.40067950288725 46.11392703711171),46.11392703711171,5.40067950288725,True,2018-01-05,NATURELS,1.0,871f91c4dffffff
18BB001093,NATURELS,2018-01-06 17:56:49,2018-01-06 19:37:07,1.0,1.0,1.0,2018,POINT (5.341383006066522 46.14565445996581),46.14565445996581,5.341383006066522,True,2018-01-06,NATURELS,1.0,871f91c6effffff
18BB001862,NATURELS,2018-01-12 08:43:15,2018-01-12 09:36:25,1.0,1.0,1.0,2018,POINT (5.691933471524859 45.8654043668394),45.8654043668394,5.691933471524859,True,2018-01-12,NATURELS,1.0,871f910d6ffffff
18BB002367,NATURELS,2018-01-15 17:55:58,2018-01-15 18:59:14,1.0,1.0,1.0,2018,POINT (5.054655960570852 45.8729756400462),45.8729756400462,5.054655960570852,True,2018-01-15,NATURELS,1.0,871f91c9bffffff
18BB003056,NATURELS,2018-01-19 22:57:16,2018-01-20 00:21:51,1.0,1.0,1.0,2018,POINT (5.795944151313267 45.948246966190304),45.948246966190304,5.795944151313267,True,2018-01-19,NATURELS,1.0,871f910e3ffffff
18BB004119,NATURELS,2018-01-25 10:41:44,2018-01-25 11:21:55,1.0,1.0,1.0,2018,POINT (4.910528914300841 46.327056651371734),46.32705665137173,4.910528914300841,True,2018-01-25,NATURELS,1.0,871f956abffffff
18BB004146,NATURELS,2018-01-25 13:40:53,2018-01-25 14:27:56,1.0,1.0,1.0,2018,POINT (5.263958041573025 45.83649213720742),45.83649213720742,5.263958041573025,True,2018-01-25,NATURELS,1.0,871f91572ffffff
18BB004671,NATURELS,2018-01-28 18:06:25,2018-01-28 19:19:32,1.0,1.0,1.0,2018,POINT (5.414141257940487 46.225146185196394),46.2251461851964,5.414141257940487,True,2018-01-28,NATURELS,1.0,871f91883ffffff
18BB004726,NATURELS,2018-01-29 07:53:33,2018-01-29 09:18:13,1.0,1.0,1.0,2018,POINT (5.2711691123587645 46.22772683961937),46.22772683961937,5.2711691123587645,True,2018-01-29,NATURELS,1.0,871f91d4dffffff
18BB004773,NATURELS,2018-01-29 12:38:36,2018-01-29 12:45:37,1.0,1.0,1.0,2018,POINT (5.276835050958791 46.23031683975041),46.23031683975041,5.276835050958791,True,2018-01-29,NATURELS,1.0,871f91d4dffffff
