iter	Passed	Remaining
0	6	10100
1	12	9107
2	17	8837
3	22	8487
4	27	8217
5	33	8316
6	38	8289
7	44	8361
8	49	8186
9	54	8130
10	60	8213
11	66	8272
12	71	8200
13	77	8196
14	82	8125
15	87	8109
16	92	8048
17	98	8071
18	102	8017
19	108	8025
20	113	7965
21	117	7870
22	121	7830
23	126	7749
24	130	7710
25	136	7715
26	140	7688
27	145	7666
28	150	7644
29	155	7615
30	159	7581
31	165	7592
32	171	7618
33	176	7621
34	182	7631
35	187	7616
36	191	7566
37	196	7550
38	201	7551
39	206	7551
40	212	7553
41	217	7544
42	220	7480
43	224	7442
44	229	7416
45	233	7391
46	238	7365
47	242	7335
48	248	7365
49	254	7376
50	260	7390
51	265	7395
52	271	7419
53	278	7457
54	284	7487
55	290	7486
56	295	7488
57	300	7461
58	306	7489
59	312	7501
60	316	7473
61	320	7437
62	324	7409
63	329	7387
64	334	7387
65	339	7365
66	343	7354
67	348	7345
68	353	7325
69	357	7296
70	361	7275
71	365	7246
72	369	7220
73	373	7191
74	377	7165
75	381	7145
76	385	7125
77	389	7101
78	393	7077
79	397	7049
80	401	7030
81	405	7005
82	408	6981
83	412	6953
84	415	6924
85	419	6902
86	427	6940
87	434	6964
88	439	6965
89	444	6961
90	451	6994
91	457	7001
92	461	6985
93	466	6983
94	471	6967
95	475	6950
96	479	6932
97	484	6926
98	489	6921
99	493	6905
100	497	6890
101	501	6869
102	505	6856
103	509	6836
104	513	6820
105	517	6807
106	522	6799
107	526	6789
108	531	6787
109	537	6786
110	544	6808
111	549	6803
112	554	6810
113	559	6800
114	565	6811
115	569	6798
116	574	6785
117	579	6785
118	584	6781
119	589	6783
120	594	6775
121	600	6778
122	604	6764
123	608	6748
124	612	6733
125	616	6719
126	620	6712
127	625	6702
128	630	6696
129	640	6746
130	649	6784
131	655	6792
132	662	6813
133	675	6886
134	687	6953
135	697	6994
136	705	7018
137	711	7020
138	715	7005
139	721	7010
140	726	7005
141	761	7286
142	789	7496
143	813	7656
144	845	7896
145	852	7907
146	860	7921
147	871	7963
148	884	8015
149	890	8017
150	895	8000
